"POPCTRRAPuid","POPCTRRAPdguid","POPCTRRAname","POPCTRRAtype","POPCTRRAclass","POPCTRRApop_2021","POPCTRRAtdwell_2021","POPCTRRAurdwell_2021","POPCTRRApop_2016","POPCTRRApop_2016a","POPCTRRAtdwell_2016a","POPCTRRAurdwell_2016a","POPCTRRAarea","POPCTRRAadj_2016","POPCTRRAir_2016","POPCTRRAir_2021","PRuid","XPRuid","CMAuid"
"240266",,"Les Escoumins","4","2",1274.00,652.00,617.00,1339.00,1339.00,640.00,610.00,"1.6077","0","0","0","24",,
"240276",,"Farnham","4","2",7869.00,3758.00,3538.00,6731.00,6772.00,3261.00,3016.00,"5.931","1","0","0","24",,
"240279",,"Ferme-Neuve","4","2",1663.00,851.00,811.00,1706.00,1706.00,822.00,783.00,"1.603","0","0","0","24",,
"240286",,"Forestville","4","2",2193.00,1209.00,1131.00,2333.00,2333.00,1211.00,1132.00,"2.8976","0","0","0","24",,
"240299",,"Fort-Coulonge","4","2",2263.00,970.00,929.00,2359.00,2369.00,993.00,948.00,"3.8313","1","0","0","24",,
"240302",,"Saint-Apollinaire","2","2",4933.00,2095.00,2049.00,3335.00,3335.00,1503.00,1423.00,"4.4316","0","0","0","24",,"421"
"240328",,"Granby","1","3",62624.00,30176.00,29320.00,59691.00,59706.00,28352.00,27486.00,"48.3921","1","0","0","24",,"450"
"240337",,"Grande-Rivière","4","2",1330.00,733.00,698.00,1517.00,1517.00,822.00,778.00,"3.3142","0","0","0","24",,
"240364",,"Havre-Saint-Pierre","4","2",2890.00,1364.00,1235.00,2925.00,3015.00,1396.00,1241.00,"2.1834","1","0","0","24",,
"240365","2021S0511240365","Hawkesbury","1","2",1780.00,931.00,884.00,1660.00,1677.00,845.00,776.00,"2.4764","1","0","0","24","35","502"
"240368",,"Saint-Bruno","4","2",1868.00,829.00,803.00,1756.00,1756.00,756.00,732.00,"1.1553","0","0","0","24",,
"240379",,"Hudson","6","2",24245.00,8892.00,8747.00,21419.00,22158.00,8027.00,7851.00,"34.6726","1","0","0","24",,"462"
"240382",,"Huntingdon","4","2",2673.00,1336.00,1263.00,2525.00,2553.00,1209.00,1142.00,"2.5126","1","0","0","24",,
"240396",,"Joliette","1","3",49246.00,24181.00,23066.00,45508.00,46277.00,21977.00,21126.00,"39.0304","1","0","0","24",,"456"
"240423",,"L'Assomption","6","2",16443.00,6837.00,6722.00,15906.00,16024.00,6526.00,6399.00,"11.6313","1","0","0","24",,"462"
"240424",,"L'Épiphanie","2","2",7607.00,3152.00,3073.00,7225.00,7385.00,2990.00,2887.00,"10.102","1","0","0","24",,"462"
"240430",,"La Malbaie","4","2",3534.00,1990.00,1725.00,3520.00,3520.00,2052.00,1759.00,"3.9699","0","0","0","24",,
"240432",,"La Pocatière","4","2",3921.00,2095.00,1884.00,3928.00,3954.00,2035.00,1813.00,"5.2208","1","0","0","24",,
"240434",,"La Sarre","4","2",5629.00,2891.00,2715.00,4570.00,5547.00,2862.00,2659.00,"5.8957","1","0","0","24",,
"240435",,"La Tuque","4","2",7464.00,4041.00,3742.00,7751.00,7571.00,4057.00,3728.00,"6.3306","1","0","0","24",,
"240437",,"Labelle","4","2",1244.00,637.00,597.00,1136.00,1179.00,622.00,543.00,"2.7747","1","0","0","24",,
"240442",,"Lac-Etchemin","4","2",1769.00,806.00,729.00,1782.00,1782.00,1007.00,817.00,"1.6533","0","0","0","24",,
"240443",,"Lac-Mégantic","4","2",5808.00,3144.00,2942.00,5647.00,5664.00,2857.00,2685.00,"9.3213","1","0","0","24",,
"240444",,"Lachute","1","2",11221.00,5477.00,5250.00,10082.00,10565.00,5251.00,4956.00,"9.5923","1","0","0","24",,"468"
"240445",,"Lacolle","4","2",1729.00,798.00,767.00,1288.00,1601.00,712.00,689.00,"3.4109","1","0","0","24",,
"240458",,"Laurentides","6","2",15768.00,6224.00,6032.00,12710.00,13023.00,5173.00,4990.00,"12.7765","1","0","0","24",,"462"
"240460",,"Lavaltrie","6","2",11301.00,4683.00,4583.00,10767.00,10767.00,4363.00,4241.00,"7.0294","0","0","0","24",,"462"
"240464",,"Lebel-sur-Quévillon","4","2",1931.00,1071.00,864.00,2015.00,2015.00,1061.00,862.00,"2.3308","0","0","0","24",,
"240473",,"Linière","4","2",1400.00,632.00,614.00,1385.00,1385.00,625.00,614.00,"1.6055","0","0","0","24",,
"240485",,"Louiseville","4","2",5577.00,2983.00,2829.00,5396.00,5416.00,2858.00,2725.00,"3.9995","1","0","0","24",,
"240488",,"Luceville","4","2",1118.00,519.00,499.00,1112.00,1143.00,523.00,494.00,"1.3276","1","0","0","24",,
"240492",,"Macamic","4","2",1352.00,625.00,605.00,1307.00,1307.00,611.00,570.00,"2.0001","0","0","0","24",,
"240495",,"Magog","6","2",22222.00,11572.00,10774.00,20830.00,21001.00,10995.00,9931.00,"19.5692","1","0","0","24",,"433"
"240498",,"Malartic","4","2",2996.00,1464.00,1332.00,2972.00,2972.00,1432.00,1311.00,"1.6844","0","0","0","24",,
"240500",,"Maniwaki","4","2",4094.00,2302.00,2055.00,3778.00,3891.00,2076.00,1929.00,"6.0477","1","0","0","24",,
"240505",,"Marieville","4","2",10015.00,4237.00,4153.00,8891.00,9253.00,3910.00,3804.00,"6.7408","1","0","0","24",,
"240514",,"Matagami","4","2",1340.00,695.00,584.00,1396.00,1396.00,683.00,591.00,"1.7256","0","0","0","24",,
"240515",,"Matane","1","2",10371.00,5756.00,5416.00,10787.00,10787.00,5679.00,5321.00,"10.1609","0","0","0","24",,"403"
"240540",,"Mont-Joli","4","2",5730.00,2826.00,2717.00,5604.00,5660.00,2761.00,2620.00,"7.9558","1","0","0","24",,
"240541",,"Mont-Laurier","4","2",7634.00,4092.00,3887.00,7644.00,7841.00,3868.00,3703.00,"10.4033","1","0","0","24",,
"240546",,"Montmagny","4","2",8881.00,4766.00,4528.00,9041.00,9041.00,4523.00,4335.00,"6.7346","0","0","0","24",,
"240547",,"Montréal","1","4",3675219.00,1667662.00,1581599.00,3519595.00,3528651.00,1584409.00,1496841.00,"1382.4663","1","0","0","24",,"462"
"240564",,"Notre-Dame-du-Bon-Conseil","2","2",1149.00,492.00,478.00,1018.00,1018.00,433.00,418.00,"1.3873","0","0","0","24",,"447"
"240565",,"Notre-Dame-du-Lac","4","2",1207.00,667.00,597.00,1184.00,1184.00,656.00,585.00,"2.5963","0","0","0","24",,
"240570",,"Napierville","4","2",4740.00,2047.00,1927.00,4708.00,4708.00,1952.00,1918.00,"5.7995","0","0","0","24",,
"240580",,"New Richmond","4","2",1886.00,984.00,943.00,1901.00,1901.00,944.00,898.00,"4.0368","0","0","0","24",,
"240587",,"Nicolet","4","2",6083.00,2704.00,2593.00,5669.00,5669.00,2514.00,2392.00,"6.0315","0","0","0","24",,
"240591",,"Normandin","4","2",1880.00,918.00,872.00,1910.00,1910.00,911.00,879.00,"1.9281","0","0","0","24",,
"240611",,"Ormstown","4","2",1785.00,832.00,798.00,1730.00,1735.00,814.00,766.00,"2.06","1","0","0","24",,
"240616","2021S0511240616","Ottawa - Gatineau","1","4",271569.00,124207.00,117684.00,253861.00,256874.00,117025.00,109964.00,"192.3131","1","0","0","24","35","505"
"240623",,"Papineauville","4","2",1126.00,611.00,557.00,1105.00,1105.00,608.00,532.00,"1.5849","0","0","0","24",,
"240644",,"Pierreville","4","2",1863.00,1010.00,945.00,1119.00,1842.00,991.00,906.00,"2.9165","1","0","0","24",,
"240651",,"Plessisville","4","2",7028.00,3720.00,3418.00,7195.00,7228.00,3481.00,3336.00,"5.8677","1","0","0","24",,
"240653",,"Pont-Rouge","4","2",6579.00,2803.00,2730.00,6239.00,6262.00,2588.00,2511.00,"6.6701","1","0","0","24",,
"240668",,"Port-Cartier","4","2",5400.00,2687.00,2440.00,5609.00,5609.00,2677.00,2461.00,"4.8835","0","0","0","24",,
"240670",,"Portneuf","4","2",2107.00,1125.00,1061.00,2004.00,2004.00,1063.00,992.00,"3.1127","0","0","0","24",,
"240677",,"Price","4","2",1640.00,755.00,722.00,1679.00,1679.00,749.00,735.00,"1.8921","0","0","0","24",,
"240682",,"Princeville","4","2",4396.00,2096.00,2020.00,4384.00,4448.00,2043.00,1972.00,"3.9715","1","0","0","24",,
"240685",,"Québec","1","4",733156.00,365801.00,345423.00,705103.00,708280.00,342588.00,325792.00,"442.8488","1","0","0","24",,"421"
"240692",,"Rawdon","4","2",5680.00,2864.00,2700.00,5188.00,5289.00,2525.00,2359.00,"7.6787","1","0","0","24",,
"240705",,"Richmond","4","2",3079.00,1634.00,1528.00,3046.00,3046.00,1596.00,1493.00,"5.3733","0","0","0","24",,
"240707",,"Rigaud","4","2",3038.00,1429.00,1368.00,3613.00,3613.00,1622.00,1539.00,"2.488","0","0","0","24",,
"240709",,"Rimouski","1","3",38708.00,20231.00,19158.00,36942.00,38478.00,19761.00,18399.00,"27.7942","1","0","0","24",,"404"
"240712",,"Rivière-du-Loup","1","2",19081.00,9454.00,8993.00,17973.00,18321.00,9104.00,8505.00,"20.1742","1","0","0","24",,"405"
