"CTuid","CTdguid","CTname","CTpop_2021","CTtdwell_2021","CTurdwell_2021","CTpop_2016","CTpop_2016a","CTtdwell_2016a","CTurdwell_2016a","CTarea","CTadj","CTir_2016","CTir_2021","PRuid","CMAcode","CTcode"
"3050016.02","2021S05073050016.02","0016.02",5805,2317,2266,5434,5434,2216,2131,"252.6686","0","0","0","13","305","4741"
"3050100.00","2021S05073050100.00","0100.00",7511,3165,3039,7051,7051,3039,2885,"552.8324","0","0","0","13","305","3067"
"3050101.00","2021S05073050101.00","0101.00",9479,3955,3891,8999,8999,3763,3641,"12.7487","0","0","0","13","305","2850"
"3050102.01","2021S05073050102.01","0102.01",5223,2466,2425,4720,4720,2223,2137,"4.1093","0","0","0","13","305","4422"
"3050102.02","2021S05073050102.02","0102.02",5882,2376,2335,5948,5948,2551,2446,"17.24","0","0","0","13","305","4423"
"3050110.00","2021S05073050110.00","0110.00",1064,610,485,892,892,595,418,"519.5364","0","0","0","13","305","5088"
"3050120.00","2021S05073050120.00","0120.00",597,310,280,647,647,319,287,"149.1445","0","0","0","13","305","4556"
"3050200.00","2021S05073050200.00","0200.00",877,383,369,842,842,399,339,"228.4143","0","0","0","13","305","0846"
"3100001.01","2021S05073100001.01","0001.01",2838,1187,1152,2810,2810,1217,1149,"70.2235","0","0","0","13","310","3068"
"3100001.02","2021S05073100001.02","0001.02",3399,1564,1539,3463,3463,1575,1503,"7.9525","0","0","0","13","310","3069"
"3100002.01","2021S05073100002.01","0002.01",3492,1648,1594,3361,3361,1611,1497,"3.4732","0","0","0","13","310","3070"
"3100002.02","2021S05073100002.02","0002.02",1697,879,837,1717,1717,951,834,"4.7719","0","0","0","13","310","3071"
"3100003.00","2021S05073100003.00","0003.00",1742,840,789,1760,1760,877,798,"1.6123","0","0","0","13","310","0077"
"3100004.00","2021S05073100004.00","0004.00",2625,1498,1422,2541,2541,1248,1081,"0.9405","0","0","0","13","310","0078"
"3100005.00","2021S05073100005.00","0005.00",10,6,5,10,10,6,6,"0.9285","0","0","0","13","310","0079"
"3100006.00","2021S05073100006.00","0006.00",639,415,380,517,517,413,318,"0.311","0","0","0","13","310","0080"
"3100007.00","2021S05073100007.00","0007.00",1073,659,547,947,947,652,486,"0.3797","0","0","0","13","310","0081"
"3100008.00","2021S05073100008.00","0008.00",1433,887,792,1390,1390,925,778,"0.2949","0","0","0","13","310","0082"
"3100009.00","2021S05073100009.00","0009.00",2187,1457,1274,2106,2106,1454,1218,"0.2599","0","0","0","13","310","0083"
"3100010.00","2021S05073100010.00","0010.00",1819,1030,914,1729,1729,1056,866,"0.7605","0","0","0","13","310","0084"
"3100011.00","2021S05073100011.00","0011.00",1070,777,689,863,863,693,538,"0.4442","0","0","0","13","310","0085"
"3100100.03","2021S05073100100.03","0100.03",2114,970,878,1962,1962,952,811,"295.3369","0","0","0","13","310","0215"
"3100100.04","2021S05073100100.04","0100.04",1253,594,531,1194,1194,600,508,"233.0561","0","0","0","13","310","0234"
"3100101.00","2021S05073100101.00","0101.00",803,492,385,707,707,507,335,"209.5174","0","0","0","13","310","4524"
"3100102.00","2021S05073100102.00","0102.00",710,323,305,681,681,325,294,"589.9536","0","0","0","13","310","5087"
"3100110.01","2021S05073100110.01","0110.01",4354,1680,1645,4223,4223,1631,1587,"13.302","0","0","0","13","310","4744"
"3100110.02","2021S05073100110.02","0110.02",7623,3327,3228,7436,7436,3185,3049,"21.2921","0","0","0","13","310","4745"
"3100111.00","2021S05073100111.00","0111.00",3202,1631,1354,2913,2913,1671,1227,"200.4094","0","0","0","13","310","4525"
"3100112.00","2021S05073100112.00","0112.00",1126,579,500,1058,1058,560,449,"114.5648","0","0","0","13","310","4526"
"3100120.02","2021S05073100120.02","0120.02",6917,2772,2703,6906,6906,2684,2612,"29.8146","0","0","0","13","310","4743"
