facility_name,facility_name_norm,city,sactype_value,CSDuid,CSDname
Strathroy Middlesex General Hospital,STRATHROY MIDDLESEX GENERAL HOSPITAL,strathroy,1,3539015,Strathroy-Caradoc
Sunnybrook Health Sciences Centre,SUNNYBROOK HEALTH SCIENCES CENTRE,toronto,1,3520005,Toronto
Sunnybrook Health Sciences Centre - Bayview Campus,SUNNYBROOK HEALTH SCIENCES CENTRE BAYVIEW CAMPUS,toronto,1,3520005,Toronto
Sunnybrook Health Sciences Centre - Women's College Hospital,SUNNYBROOK HEALTH SCIENCES CENTRE WOMEN S COLLEGE HOSPITAL,toronto,1,3520005,Toronto
Sunnybrook Health Sciences Centre — Reactivation Care Centre Church,SUNNYBROOK HEALTH SCIENCES CENTRE REACTIVATION CARE CENTRE CHURCH,toronto,NA,NA,Toronto
THE OTTAWA HOSPITAL/L'HÔPITAL D'OTTAWA - GENERAL CAMPUS,THE OTTAWA HOSPITAL L H PITAL D OTTAWA GENERAL CAMPUS,ottawa,1,3506008,Ottawa
THE OTTAWA HOSPITAL/L'HÔPITAL D'OTTAWA - THE REHABILITATION CENTRE,THE OTTAWA HOSPITAL L H PITAL D OTTAWA THE REHABILITATION CENTRE,ottawa,1,3506008,Ottawa
TIMMINS AND DISTRICT HOSPITAL/L'HÔPITAL DE TIMMINS ET DU DISTRICT,TIMMINS AND DISTRICT HOSPITAL L H PITAL DE TIMMINS ET DU DISTRICT,timmins,3,3556027,Timmins
Temiskaming Hospital,TEMISKAMING HOSPITAL,new liskeard,6,3554020,Temiskaming Shores
Thessalon Hospital,THESSALON HOSPITAL,thessalon,5,3557028,Thessalon
Thunder Bay Regional Health Sciences Centre,THUNDER BAY REGIONAL HEALTH SCIENCES CENTRE,thunder bay,1,3558004,Thunder Bay
Tillsonburg District Memorial Hospital,TILLSONBURG DISTRICT MEMORIAL HOSPITAL,tillsonburg,3,3532004,Tillsonburg
Toronto East General Hospital,TORONTO EAST GENERAL HOSPITAL,toronto,1,3520005,Toronto
Toronto Rehabilitation Institute - Hillcrest Centre,TORONTO REHABILITATION INSTITUTE HILLCREST CENTRE,toronto,1,3520005,Toronto
Toronto Rehabilitation Institute - Lyndhurst Centre,TORONTO REHABILITATION INSTITUTE LYNDHURST CENTRE,toronto,1,3520005,Toronto
Toronto Rehabilitation Institute - Rumsey Centre,TORONTO REHABILITATION INSTITUTE RUMSEY CENTRE,toronto,1,3520005,Toronto
Toronto Rehabilitation Institute - University Centre,TORONTO REHABILITATION INSTITUTE UNIVERSITY CENTRE,toronto,1,3520005,Toronto
Toronto Rehabilitation Institute - e. w. Bickle Centre,TORONTO REHABILITATION INSTITUTE E W BICKLE CENTRE,toronto,1,3520005,Toronto
Trillium Health Partners - Queensway Health Centre,TRILLIUM HEALTH PARTNERS QUEENSWAY HEALTH CENTRE,etobicoke,1,3520005,Toronto
Trillium Health Partners — Mississauga Hospital,TRILLIUM HEALTH PARTNERS MISSISSAUGA HOSPITAL,mississauga,1,3521005,Mississauga
Trillium Health Partners — Reactivation Care Centre Church,TRILLIUM HEALTH PARTNERS REACTIVATION CARE CENTRE CHURCH,toronto,NA,NA,Toronto
Unity Health Toronto — Reactivation Care Centre Church,UNITY HEALTH TORONTO REACTIVATION CARE CENTRE CHURCH,toronto,NA,NA,Toronto
